cod_dep_inei,desc_dep_inei,cod_prov_inei,desc_prov_inei,cod_ubigeo_inei,desc_ubigeo_inei,cod_dep_sunat,desc_dep_sunat,cod_prov_sunat,desc_prov_sunat,cod_ubigeo_sunat,desc_ubigeo_sunat,cod_dep_reniec,desc_dep_reniec,cod_prov_reniec,desc_prov_reniec,cod_ubigeo_reniec,desc_ubigeo_reniec,poblacion,superficie,latitud,longitud,region_natural,altitud
14,LAMBAYEQUE,1402,FERREÃAFE,140205,PITIPO,14,LAMBAYEQUE,1402,FERREÃAFE,140205,PITIPO,13,Lambayeque,1302,Ferreñafe,130204,Pitipo,24214,558.18,-6.5664,-79.7808,,50
14,LAMBAYEQUE,1402,FERREÃAFE,140206,PUEBLO NUEVO,14,LAMBAYEQUE,1402,FERREÃAFE,140206,PUEBLO NUEVO,13,Lambayeque,1302,Ferreñafe,130205,Pueblo Nuevo,13619,28.88,-6.6367,-79.7947,,39
14,LAMBAYEQUE,1403,LAMBAYEQUE,140301,LAMBAYEQUE,14,LAMBAYEQUE,1403,LAMBAYEQUE,140301,LAMBAYEQUE,13,Lambayeque,1303,Lambayeque,130301,Lambayeque,79914,330.73,-6.7006,-79.9072,,20
14,LAMBAYEQUE,1403,LAMBAYEQUE,140302,CHOCHOPE,14,LAMBAYEQUE,1403,LAMBAYEQUE,140302,CHOCHOPE,13,Lambayeque,1303,Lambayeque,130302,Chochope,1122,79.27,-6.1586,-79.6469,,200
14,LAMBAYEQUE,1403,LAMBAYEQUE,140303,ILLIMO,14,LAMBAYEQUE,1403,LAMBAYEQUE,140303,ILLIMO,13,Lambayeque,1303,Lambayeque,130303,Illimo,9415,24.37,-6.4733,-79.8531,,53
14,LAMBAYEQUE,1403,LAMBAYEQUE,140304,JAYANCA,14,LAMBAYEQUE,1403,LAMBAYEQUE,140304,JAYANCA,13,Lambayeque,1303,Lambayeque,130304,Jayanca,18039,680.96,-6.3881,-79.8211,,66
14,LAMBAYEQUE,1403,LAMBAYEQUE,140305,MOCHUMI,14,LAMBAYEQUE,1403,LAMBAYEQUE,140305,MOCHUMI,13,Lambayeque,1303,Lambayeque,130305,Mochumi,19467,103.7,-6.5467,-79.8647,,39
14,LAMBAYEQUE,1403,LAMBAYEQUE,140306,MORROPE,14,LAMBAYEQUE,1403,LAMBAYEQUE,140306,MORROPE,13,Lambayeque,1303,Lambayeque,130306,Mórrope,47455,1041.66,-6.54,-80.0128,,21
14,LAMBAYEQUE,1403,LAMBAYEQUE,140307,MOTUPE,14,LAMBAYEQUE,1403,LAMBAYEQUE,140307,MOTUPE,13,Lambayeque,1303,Lambayeque,130307,Motupe,26985,557.37,-6.1536,-79.7153,,132
14,LAMBAYEQUE,1403,LAMBAYEQUE,140308,OLMOS,14,LAMBAYEQUE,1403,LAMBAYEQUE,140308,OLMOS,13,Lambayeque,1303,Lambayeque,130308,Olmos,41587,5583.47,-5.9883,-79.75,,174
14,LAMBAYEQUE,1403,LAMBAYEQUE,140309,PACORA,14,LAMBAYEQUE,1403,LAMBAYEQUE,140309,PACORA,13,Lambayeque,1303,Lambayeque,130309,Pacora,7299,87.79,-6.4275,-79.84,,57
14,LAMBAYEQUE,1403,LAMBAYEQUE,140310,SALAS,14,LAMBAYEQUE,1403,LAMBAYEQUE,140310,SALAS,13,Lambayeque,1303,Lambayeque,130310,Salas,13056,991.8,-6.2736,-79.6044,,166
14,LAMBAYEQUE,1403,LAMBAYEQUE,140311,SAN JOSE,14,LAMBAYEQUE,1403,LAMBAYEQUE,140311,SAN JOSE,13,Lambayeque,1303,Lambayeque,130311,San José,16851,46.73,-6.7703,-79.9686,,10
14,LAMBAYEQUE,1403,LAMBAYEQUE,140312,TUCUME,14,LAMBAYEQUE,1403,LAMBAYEQUE,140312,TUCUME,13,Lambayeque,1303,Lambayeque,130312,Túcume,23288,67,-6.5097,-79.8594,,45
