ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
110802,120305,Junín,Chanchamayo,San Ramón,San Ramón
110803,120306,Junín,Chanchamayo,Vitoc,Vitoc
110804,120304,Junín,Chanchamayo,San Luis de Shuaro,San Luis de Shuaro
110805,120303,Junín,Chanchamayo,Pichanaqui,Pichanaqui
110806,120302,Junín,Chanchamayo,Perene,Perene
110901,120901,Junín,Chupaca,Chupaca,Chupaca
110902,120902,Junín,Chupaca,Ahuac,Ahuac
110903,120903,Junín,Chupaca,Chongos Bajo,Chongos Bajo
110904,120904,Junín,Chupaca,Huáchac,Huachac
110905,120905,Junín,Chupaca,Huamancaca Chico,Huamancaca Chico
110906,120906,Junín,Chupaca,San Juan de Yscos,San Juan de Iscos
110907,120907,Junín,Chupaca,San Juan de Jarpa,San Juan de Jarpa
110908,120908,Junín,Chupaca,Tres de Diciembre,Tres de Diciembre
110909,120909,Junín,Chupaca,Yanacancha,Yanacancha
