C_CODI_CANDIDATO,CANDIDATO,NUMLISTA,TOTAL_VOTOS,departamento,partido
00000668,LIDIA SALAZAR CARRANZA,2,276,AMAZONAS,RENOVACION POPULAR
00000669,  ,3,38,AMAZONAS,RENOVACION POPULAR
00000670,ERIKA JOANNA CHINCHAY AMAYA,4,22,AMAZONAS,RENOVACION POPULAR
00000663,MANUEL CRUZ CULLAMPE GRANDEZ,1,128,AMAZONAS,RENACIMIENTO UNIDO NACIONAL
00000664,NELSY IVONE CORONEL CORTEZ,2,22,AMAZONAS,RENACIMIENTO UNIDO NACIONAL
00000665,JULIO AURELIO CAMAVILCA DE LA CRUZ,3,9,AMAZONAS,RENACIMIENTO UNIDO NACIONAL
00000666,JHENY VEGA LA ROSA,4,2,AMAZONAS,RENACIMIENTO UNIDO NACIONAL
00000699,LESTER GEOFREY DIAZ VILLANUEVA,1,"2,290",AMAZONAS,PARTIDO DEMOCRATICO SOMOS PERU
00000700,MARIA GENOBEVA GOÑAS VARGAS,2,407,AMAZONAS,PARTIDO DEMOCRATICO SOMOS PERU
00000701,PORFILIO VALLE VALQUI,3,52,AMAZONAS,PARTIDO DEMOCRATICO SOMOS PERU
00000702,JUDITH RUBIO VALQUI,4,51,AMAZONAS,PARTIDO DEMOCRATICO SOMOS PERU
00000707,SEGUNDO TORIBIO MONTALVO CUBAS,1,"2,556",AMAZONAS,PARTIDO POLITICO NACIONAL PERU LIBRE
00000708,ROSA ADELAIDA PAUKAI SEBASTIAN,2,905,AMAZONAS,PARTIDO POLITICO NACIONAL PERU LIBRE
00000709,  ,3,161,AMAZONAS,PARTIDO POLITICO NACIONAL PERU LIBRE
00000710,RUTH MAGALY BENAVIDES ALVARADO,4,83,AMAZONAS,PARTIDO POLITICO NACIONAL PERU LIBRE
00000125,JORGE LUIS CARBONEL CHOTA,1,63,AMAZONAS,DEMOCRACIA DIRECTA
00000126,NELLY RODRIGUEZ AREVALO,2,16,AMAZONAS,DEMOCRACIA DIRECTA
00000127,FERNANDO UKUNCHAM TAKI,3,6,AMAZONAS,DEMOCRACIA DIRECTA
00000128,DILSA FLOR PASAPERA HUANCAS,4,2,AMAZONAS,DEMOCRACIA DIRECTA
00000711,KARIN DEL ROSARIO BURGA MUÑOZ,1,"2,157",AMAZONAS,ALIANZA PARA EL PROGRESO
00000712,ERICK GUZMAN CLAVO ZUTA,2,715,AMAZONAS,ALIANZA PARA EL PROGRESO
00000713,ALEYDA ESPERANZA SILVA TAFUR,3,340,AMAZONAS,ALIANZA PARA EL PROGRESO
00000714,RICARDO WILMER GONZALES SALAZAR,4,"1,018",AMAZONAS,ALIANZA PARA EL PROGRESO
00000757,HENRY GERMAN CHICO LEON,1,"5,189",ANCASH,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000758,ELVA CARINA CHAMPA VILLAFANA,2,"1,675",ANCASH,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000759,ROGER ALEJANDRO MENDEZ SILVA,3,"1,079",ANCASH,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000760,BANIA IBETH VILLANUEVA PAREDES,4,816,ANCASH,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000761,JEREMIAS ENRIQUE HIDALGO NUÑEZ,5,"1,729",ANCASH,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000762,NANCY AZUCENA SALINAS AGUILAR,6,873,ANCASH,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000733,FREDY ROLANDO OTAROLA PEÑARANDA,1,772,ANCASH,PARTIDO NACIONALISTA PERUANO
00000734,MILAGROS ELIZABETH ROSARIO CUEVA,2,264,ANCASH,PARTIDO NACIONALISTA PERUANO
00000735,PERCY HECKMAN CHAVEZ VASQUEZ,3,139,ANCASH,PARTIDO NACIONALISTA PERUANO
00000736,LUZBETH SORAYA SOLORZANO DIAZ,4,350,ANCASH,PARTIDO NACIONALISTA PERUANO
00000737,JESUS NICOMEDES GERVACIO CASTILLO,5,158,ANCASH,PARTIDO NACIONALISTA PERUANO
00000738,DHELY PADILLA OCROSPOMA,6,133,ANCASH,PARTIDO NACIONALISTA PERUANO
00000512,GREGORIO BERNARDO SICCHA VASQUEZ,1,409,ANCASH,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000513,  ,2,213,ANCASH,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000514,WALDIR RAMIRO SANCHEZ LAZARO,3,"3,317",ANCASH,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000515,MAYUMI BETZABE DEXTRE COLONIA,4,78,ANCASH,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000516,DIVINO CAPISTRANO VISITACION CATALINO,5,239,ANCASH,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000517,EVELIA ROSSELA TIMANA MORENO,6,27,ANCASH,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000739,EDGARDO SALVADOR AMEZ HERRERA,1,871,ANCASH,PARTIDO MORADO
00000740,KEILIT MILAGROS NOLASCO ACOSTA,2,"1,253",ANCASH,PARTIDO MORADO
00000741,VICTOR MANUEL OLORTIGA REAÑO,3,"1,266",ANCASH,PARTIDO MORADO
00000742,REBECA NOEMI ESCOBEDO SANTOS,4,379,ANCASH,PARTIDO MORADO
00000743,CLUBER JESUS ARAMBURU,5,"1,365",ANCASH,PARTIDO MORADO
00000744,JOANNA RIQUEROS RAMIREZ,6,444,ANCASH,PARTIDO MORADO
00000769,TANIA NADIESHDA MONZON ZAVALETA,1,252,ANCASH,PERU PATRIA SEGURA
00000770,LUIS ENRIQUE MELENDEZ CALVO,2,296,ANCASH,PERU PATRIA SEGURA
00000771,DENISSE DEL PILAR TAKAMURA FERIA,3,481,ANCASH,PERU PATRIA SEGURA
00000772,ELVER ELADIO PALACIOS HERNANDEZ,4,154,ANCASH,PERU PATRIA SEGURA
00000773,SOLEDAD NANCY CABEL REBAZA,5,194,ANCASH,PERU PATRIA SEGURA
00000774,ADOLFO ARTID CALLIRGOS SIANCAS,6,6,ANCASH,PERU PATRIA SEGURA
00000482,FRANCISCO WALTER VASQUEZ MUÑOZ,1,"2,947",ANCASH,VICTORIA NACIONAL
00000483,ELIZABETH YOLANDA FLORES DE LA CRUZ,2,"1,191",ANCASH,VICTORIA NACIONAL
00000484,CRISTOFER RONAL BARRIONUEVO ROMERO,3,"4,660",ANCASH,VICTORIA NACIONAL
00000485,ANGELLA GISSELLY VEGA CACERES,4,295,ANCASH,VICTORIA NACIONAL
00000486,  ,5,350,ANCASH,VICTORIA NACIONAL
00000487,MARIANELA PEÑA CAMPOS,6,76,ANCASH,VICTORIA NACIONAL
00000494,JHAEC DARWIN ESPINOZA VARGAS,1,"4,891",ANCASH,ACCION POPULAR
00000495,PRAXEDES REGINA ARMAS SANCHEZ,2,"3,844",ANCASH,ACCION POPULAR
00000496,VIDAL BLAS BRAVO,3,"2,612",ANCASH,ACCION POPULAR
00000497,ISABEL MILAGROS MANRIQUE LOPEZ,4,"3,931",ANCASH,ACCION POPULAR
00000498,OSCAR ANTONIO HERNANDEZ PILARES,5,"1,114",ANCASH,ACCION POPULAR
00000499,ROSA JUANA AZAÑA BRIONES,6,493,ANCASH,ACCION POPULAR
00000500,EDILBERTO RUFINO ROBLES RAMOS,1,"2,768",ANCASH,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00000501,LUZ ANTONIA JUSTINIANO DIONICIO,2,"2,148",ANCASH,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00000502,OLGUIN MIGUEL TARAZONA MAYO,3,"2,980",ANCASH,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00000503,YVONNE MAGALI LLATAS GONZALES,4,"1,165",ANCASH,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00000504,JULIO CEDESIAS CANCHIS MANRIQUE,5,"1,923",ANCASH,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00000505,VERONICA LIZETTE SANCHEZ COLONA,6,714,ANCASH,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00000775,JULIO IGNACIO SAL Y ROSAS GUERRERO,1,"4,585",ANCASH,PODEMOS PERU
00000776,KELY DEYSI ORTIZ ALVARADO,2,"2,663",ANCASH,PODEMOS PERU
00000777,ALEX OMAR JARA VILCHEZ,3,"2,127",ANCASH,PODEMOS PERU
00000778,EVELIN JENIFER CHAVEZ MARTEL,4,336,ANCASH,PODEMOS PERU
00000779,YVAN SEGUNDINO HERNANDEZ CARRASCO,5,"2,341",ANCASH,PODEMOS PERU
00000780,NATHALY MABEL ACEBEDO BAUTISTA,6,247,ANCASH,PODEMOS PERU
00000476,DIOGENES ZENON ALVARADO COLLENS,1,"3,422",ANCASH,JUNTOS POR EL PERU
00000477,YOLANDA NORMA LARA CORTEZ,2,"2,438",ANCASH,JUNTOS POR EL PERU
00000478,FRANCISCO HUATANGARI BARRANTES,3,"1,276",ANCASH,JUNTOS POR EL PERU
00000479,MARIA HELVEZIA BALTA SALAZAR,4,"1,738",ANCASH,JUNTOS POR EL PERU
00000480,FERNANDO CAMILO ANDRADE MORENO,5,"2,184",ANCASH,JUNTOS POR EL PERU
00000481,JUDITH VIOLETA ROSALES LUNA,6,597,ANCASH,JUNTOS POR EL PERU
00000763,JORGE LUIS ANGELES HARO,1,792,ANCASH,PARTIDO POPULAR CRISTIANO - PPC
00000764,  ,2,171,ANCASH,PARTIDO POPULAR CRISTIANO - PPC
00000765,PABLO IVAN SAGASTEGUI LUNA,3,315,ANCASH,PARTIDO POPULAR CRISTIANO - PPC
00000766,ELIANA PAOLA GABRIELL CANO,4,216,ANCASH,PARTIDO POPULAR CRISTIANO - PPC
00000767,EDGAR ARMANDO MORENO ALVAREZ,5,"1,575",ANCASH,PARTIDO POPULAR CRISTIANO - PPC
00000768,YULI YOVANA DEPAZ CUEVA,6,48,ANCASH,PARTIDO POPULAR CRISTIANO - PPC
00000464,LUIS FERNANDO ZAMBRANO ORTIZ,1,"2,282",ANCASH,FUERZA POPULAR
00000465,NILZA MERLY CHACON TRUJILLO,2,"2,758",ANCASH,FUERZA POPULAR
00000466,ROBERT GUILLERMO CARRION CARMEN,3,"1,772",ANCASH,FUERZA POPULAR
00000467,YULLIANA ZENOVIA ARBIRIO VENEGAS,4,"1,017",ANCASH,FUERZA POPULAR
00000468,OTTO TEODULO ANAYA RAMIREZ,5,"1,494",ANCASH,FUERZA POPULAR
