C_CODI_CANDIDATO,CANDIDATO,NUMLISTA,TOTAL_VOTOS,departamento,partido
00001210,CELMER BARROS TOVAR,3,128,HUANCAVELICA,FUERZA POPULAR
00001211,GADY MARIZABEL FUENTES LARRAURI,4,52,HUANCAVELICA,FUERZA POPULAR
00001236,ABRAHAN HILARIO ROJAS,1,612,HUANCAVELICA,UNION POR EL PERU
00001237,SONYA ALICIA QUISPE MATAMOROS DE LEIVA,2,"1,849",HUANCAVELICA,UNION POR EL PERU
00001238,NORMAN ZUASNABAR ARIAS,3,"3,668",HUANCAVELICA,UNION POR EL PERU
00001239,SHEYLA ADRIANA ZULOAGA ESTACIO,4,97,HUANCAVELICA,UNION POR EL PERU
00001252,  ,1,649,HUANCAVELICA,RENOVACION POPULAR
00001253,YEDI MENDIETA SOTO,2,272,HUANCAVELICA,RENOVACION POPULAR
00001254,  ,3,71,HUANCAVELICA,RENOVACION POPULAR
00001255,VIRGINIA KATHERIN RIVERA CUBA,4,50,HUANCAVELICA,RENOVACION POPULAR
00001228,MISAELL MARTINEZ YAURI,1,443,HUANCAVELICA,RENACIMIENTO UNIDO NACIONAL
00001229,  ,2,137,HUANCAVELICA,RENACIMIENTO UNIDO NACIONAL
00001230,DOMINGO WILLIAM ANCCASI LOPEZ,3,203,HUANCAVELICA,RENACIMIENTO UNIDO NACIONAL
00001231,  ,4,12,HUANCAVELICA,RENACIMIENTO UNIDO NACIONAL
00001224,YOBHER ROJAS CHAMORRO,1,812,HUANCAVELICA,PARTIDO DEMOCRATICO SOMOS PERU
00001225,CHARO NERY BERROCAL ESPINAL,2,304,HUANCAVELICA,PARTIDO DEMOCRATICO SOMOS PERU
00001226,ABRAHAM LAZO MORALES,3,748,HUANCAVELICA,PARTIDO DEMOCRATICO SOMOS PERU
00001227,MIRTHA VENTURA CEPIDA,4,88,HUANCAVELICA,PARTIDO DEMOCRATICO SOMOS PERU
00001204,ALFREDO PARIONA SINCHE,1,"8,469",HUANCAVELICA,PARTIDO POLITICO NACIONAL PERU LIBRE
00001205,HERLINDA BETZABE ALMIDON ROMERO,2,"5,194",HUANCAVELICA,PARTIDO POLITICO NACIONAL PERU LIBRE
00001206,  ,3,"1,648",HUANCAVELICA,PARTIDO POLITICO NACIONAL PERU LIBRE
00001207,RUTH CONDORI CCANTO,4,316,HUANCAVELICA,PARTIDO POLITICO NACIONAL PERU LIBRE
00001220,BRITO RIVELINO RICSE CAÑARI,1,106,HUANCAVELICA,DEMOCRACIA DIRECTA
00001221,SILMA DELINA BOCANEGRA CASTILLO,2,46,HUANCAVELICA,DEMOCRACIA DIRECTA
00001222,CESAR JESUS SEGURA FLORES,3,112,HUANCAVELICA,DEMOCRACIA DIRECTA
00001223,  ,4,7,HUANCAVELICA,DEMOCRACIA DIRECTA
00001244,JOHNNY RONALD JURADO BOZA,1,671,HUANCAVELICA,ALIANZA PARA EL PROGRESO
00001245,LIZBETH AYALA BIZARRO,2,"1,476",HUANCAVELICA,ALIANZA PARA EL PROGRESO
00001246,  ,3,108,HUANCAVELICA,ALIANZA PARA EL PROGRESO
00001247,ELIZABETH HUAMAN VENTURA,4,52,HUANCAVELICA,ALIANZA PARA EL PROGRESO
00001280,OSCAR RAUL MEZA CCOLLA,1,"2,091",HUANUCO,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001281,GLADYS FERNANDEZ TRINIDAD DE FLORES,2,"1,951",HUANUCO,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001282,IMMER MATEO GARCIA ESCOBAL,3,"2,752",HUANUCO,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001283,MARISOL ALVARADO PONCE DE BLAS,4,460,HUANUCO,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001292,JOSUE MANUEL GUTIERREZ CONDOR,1,259,HUANUCO,PARTIDO NACIONALISTA PERUANO
00001293,CENY MAGALI RAMIREZ LAGUNA,2,256,HUANUCO,PARTIDO NACIONALISTA PERUANO
00001294,  ,3,62,HUANUCO,PARTIDO NACIONALISTA PERUANO
00001295,  ,4,11,HUANUCO,PARTIDO NACIONALISTA PERUANO
00001316,  ,1,236,HUANUCO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00001317,  ,2,88,HUANUCO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000993,  ,3,42,HUANUCO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000994,MARILUZ CECILIO MAYLLE,4,28,HUANUCO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000995,EDUARDO PEREZ CACERES,1,"1,169",HUANUCO,PARTIDO MORADO
00000996,  ,2,266,HUANUCO,PARTIDO MORADO
00000997,RICHARD CALLAN BACILIO,3,823,HUANUCO,PARTIDO MORADO
00000998,  ,4,71,HUANUCO,PARTIDO MORADO
,,1,0,HUANUCO,PERU PATRIA SEGURA
,,2,0,HUANUCO,PERU PATRIA SEGURA
,,3,0,HUANUCO,PERU PATRIA SEGURA
,,4,0,HUANUCO,PERU PATRIA SEGURA
00001256,DAISY YENY SOTO MORY,1,"4,628",HUANUCO,VICTORIA NACIONAL
00001257,RODOLFO JOSE ESPINOZA ZEVALLOS,2,"8,536",HUANUCO,VICTORIA NACIONAL
00001258,ANA DELIA HUANCA GABRIEL,3,"1,364",HUANUCO,VICTORIA NACIONAL
00001259,  ,4,75,HUANUCO,VICTORIA NACIONAL
00001308,DANIEL GOMEZ FLORES,1,"5,720",HUANUCO,ACCION POPULAR
00001309,CYNTIA MONICA DAGA SAAVEDRA,2,"3,703",HUANUCO,ACCION POPULAR
00001310,ARMANDO BERCHIMAN FERRER JARA,3,"2,425",HUANUCO,ACCION POPULAR
00001311,TULA LIBERTAD ACOSTA ESPINOZA,4,453,HUANUCO,ACCION POPULAR
,,1,0,HUANUCO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
,,2,0,HUANUCO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
,,3,0,HUANUCO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
,,4,0,HUANUCO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00001276,EWER PORTOCARRERO MERINO,1,"4,192",HUANUCO,PODEMOS PERU
00001277,  ,2,942,HUANUCO,PODEMOS PERU
00001278,MIGUEL ANGEL GUTIERREZ ORTIZ,3,259,HUANUCO,PODEMOS PERU
00001279,DALINDA KAREM BALDEON SANCHEZ,4,120,HUANUCO,PODEMOS PERU
00001296,JANETH ELLEN JAVIER CUCHILLA,1,"1,361",HUANUCO,JUNTOS POR EL PERU
00001297,SERAFIN ANDRES LUJAN,2,"1,337",HUANUCO,JUNTOS POR EL PERU
00001298,SADITH LIVIA VELA COLLAZOS,3,"1,010",HUANUCO,JUNTOS POR EL PERU
00001299,CESAR GERMAN MARTEL BARRUETA,4,748,HUANUCO,JUNTOS POR EL PERU
00001304,  ,1,115,HUANUCO,PARTIDO POPULAR CRISTIANO - PPC
00001305,ALICIA ALLISON GUTIERREZ CHARUN,2,92,HUANUCO,PARTIDO POPULAR CRISTIANO - PPC
00001306,WITMER RIOS ARAUJO,3,71,HUANUCO,PARTIDO POPULAR CRISTIANO - PPC
00001307,CARMEN CECILIA PORTELLA MOROTE,4,28,HUANUCO,PARTIDO POPULAR CRISTIANO - PPC
00001260,WILSON NAU ARIZA MENDOZA,1,"2,792",HUANUCO,FUERZA POPULAR
00001261,ROSA PRIMITIVA GUERRA PEÑA DE NARANJO,2,954,HUANUCO,FUERZA POPULAR
00001262,LADISLAO DIAZ ALVAREZ,3,"1,710",HUANUCO,FUERZA POPULAR
00001263,  ,4,96,HUANUCO,FUERZA POPULAR
00001300,VIRGINIA MENDOZA TARAZONA,1,"1,208",HUANUCO,UNION POR EL PERU
00001301,JOTWIN CRIOLLO PAREDES,2,"1,608",HUANUCO,UNION POR EL PERU
00001302,CARMEN FELIPE SOTO,3,242,HUANUCO,UNION POR EL PERU
00001303,WILLIE EDGAR ESQUIVEL ASENCIOS,4,366,HUANUCO,UNION POR EL PERU
00001312,AMED HUGO LOARTE SANTILLAN,1,"6,519",HUANUCO,RENOVACION POPULAR
00001313,YULI MENDIETA SOTO,2,"1,809",HUANUCO,RENOVACION POPULAR
00001314,MIGUEL THENCERA PASTOR,3,"2,448",HUANUCO,RENOVACION POPULAR
00001315,LUCINDA SOTO ESPINOZA,4,164,HUANUCO,RENOVACION POPULAR
00001272,  ,1,0,HUANUCO,RENACIMIENTO UNIDO NACIONAL
00001273,  ,2,0,HUANUCO,RENACIMIENTO UNIDO NACIONAL
00001274,  ,3,0,HUANUCO,RENACIMIENTO UNIDO NACIONAL
00001275,  ,4,0,HUANUCO,RENACIMIENTO UNIDO NACIONAL
00001268,KANDY YANINY VARGAS AGUIRRE,1,"3,560",HUANUCO,PARTIDO DEMOCRATICO SOMOS PERU
00001269,  ,2,"1,367",HUANUCO,PARTIDO DEMOCRATICO SOMOS PERU
00001270,OLGA LUZ CHAGUA TIMOTEO,3,"1,287",HUANUCO,PARTIDO DEMOCRATICO SOMOS PERU
00001271,YOLER YHON GOMEZ HUAMAN,4,135,HUANUCO,PARTIDO DEMOCRATICO SOMOS PERU
00001264,ELIZABETH SARA MEDINA HERMOSILLA,1,"8,702",HUANUCO,PARTIDO POLITICO NACIONAL PERU LIBRE
00001265,ABEL AUGUSTO REYES CAM,2,"5,522",HUANUCO,PARTIDO POLITICO NACIONAL PERU LIBRE
00001266,NIDIA INGRID FALCON GONZALES,3,"1,903",HUANUCO,PARTIDO POLITICO NACIONAL PERU LIBRE
00001267,WILLIAM LIBERATO LORENZO,4,"2,173",HUANUCO,PARTIDO POLITICO NACIONAL PERU LIBRE
00001284,ANTONIA ESMILA JERI GUERRA,1,392,HUANUCO,DEMOCRACIA DIRECTA
00001285,  ,2,105,HUANUCO,DEMOCRACIA DIRECTA
00001286,  ,3,77,HUANUCO,DEMOCRACIA DIRECTA
00001287,ROMELL CARRILLO SAEZ,4,197,HUANUCO,DEMOCRACIA DIRECTA
00001288,LUIS RAUL PICON QUEDO,1,"8,951",HUANUCO,ALIANZA PARA EL PROGRESO
00001289,YERMMY VASQUEZ SALIS,2,"2,298",HUANUCO,ALIANZA PARA EL PROGRESO
00001290,JHON ARTURO APOLINARIO SEBASTIAN,3,"4,656",HUANUCO,ALIANZA PARA EL PROGRESO
00001291,CAYETANA VILLANUEVA ORDOÑEZ,4,"1,272",HUANUCO,ALIANZA PARA EL PROGRESO
00001035,NOEMI ELIZABETH DOMINGUEZ PEREZ,1,"1,399",ICA,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001036,LUIS ROBERTO INCA CAJACURI,2,"1,257",ICA,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001037,CELICA NORLY CORAZAO OCHOA,3,436,ICA,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001038,ELY ENMANUEL PALOMINO ACHCARAY,4,224,ICA,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001051,MARLENE ALMEYDA YATACO,1,276,ICA,PARTIDO NACIONALISTA PERUANO
00001052,  ,2,68,ICA,PARTIDO NACIONALISTA PERUANO
00001053,MILAGRO PARIONA OLIVARES,3,44,ICA,PARTIDO NACIONALISTA PERUANO
00001054,JOSE ANTONIO QUISPE ALMEYDA,4,44,ICA,PARTIDO NACIONALISTA PERUANO
00001003,JORGE ALFONSO APARCANA ALFARO,1,215,ICA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00001004,DANNA GERALDINNE GUTIERREZ MORENO,2,393,ICA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00001005,MARIO ALEJANDRO AGUIRRE GARCES,3,382,ICA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00001006,KARINA GONZALES VILLAVICENCIO,4,101,ICA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00001031,VICTOR EDUARDO BENDEZU HERNANDEZ,1,992,ICA,PARTIDO MORADO
00001032,JANE LIZ HUARAC LUNA DE MORALES,2,991,ICA,PARTIDO MORADO
00001033,JUAN MANUEL TRILLO CALDERON,3,368,ICA,PARTIDO MORADO
00001034,ROSA ELENA VERASTEGUI ROJAS,4,469,ICA,PARTIDO MORADO
00001059,  ,1,0,ICA,PERU PATRIA SEGURA
00001060,  ,2,0,ICA,PERU PATRIA SEGURA
00001061,  ,3,0,ICA,PERU PATRIA SEGURA
00001062,  ,4,0,ICA,PERU PATRIA SEGURA
00001023,FRANCISCO JAVIER RAMON MASSA PARDO,1,"4,983",ICA,VICTORIA NACIONAL
00001024,MONICA WENDY GARGUREVICH ANTICONA,2,"1,010",ICA,VICTORIA NACIONAL
00001025,ANTONY MIEDT PINEDO CORDOVA,3,832,ICA,VICTORIA NACIONAL
00001026,EPIFANIA INOCENTE MEZA DE FLORES,4,166,ICA,VICTORIA NACIONAL
00001063,  ,1,"1,157",ICA,ACCION POPULAR
00001064,RAUL FELIPE DOROTEO CARBAJO,2,"1,390",ICA,ACCION POPULAR
00001065,GUDELIA ESMERALDA DUEÑAS GAMEROS,3,928,ICA,ACCION POPULAR
00001066,MANUEL ROBERTO MONTOYA MENDOZA,4,"1,891",ICA,ACCION POPULAR
00001039,MONICA MARGOT GUILLEN TUANAMA,1,"2,777",ICA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00001040,  ,2,733,ICA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00001041,LUZ CAROLANN DIESTRO ARCE,3,681,ICA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00001042,MARTIN HAROLD HERNANDEZ DONAYRE,4,357,ICA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00001027,JOSE LUIS ELIAS AVALOS,1,"2,951",ICA,PODEMOS PERU
00001028,LORENY MEDALY HUAMAN HUAYTA,2,"3,480",ICA,PODEMOS PERU
00001029,  ,3,328,ICA,PODEMOS PERU
00001030,DONATILA ELIZABETH LOPEZ MIRANDA,4,310,ICA,PODEMOS PERU
00003335,ROBERTO DE LA CRUZ HUAMAN,1,"1,545",ICA,JUNTOS POR EL PERU
00003336,KARINA ELIZABETH MENDOZA BARDALES,2,"2,110",ICA,JUNTOS POR EL PERU
00003337,VICTOR LORENZO CAMASCA ZAPATA,3,551,ICA,JUNTOS POR EL PERU
00003338,MARIA ROSA BRENDA PACHECO LARA,4,263,ICA,JUNTOS POR EL PERU
00001007,PABLO ENRIQUE PISCONTI FLORES,1,494,ICA,PARTIDO POPULAR CRISTIANO - PPC
00001008,ERSY MARLLORIE GOMEZ CABRERA,2,"1,061",ICA,PARTIDO POPULAR CRISTIANO - PPC
00001009,  ,3,95,ICA,PARTIDO POPULAR CRISTIANO - PPC
00001010,ITALA MATILDE VEGA ZARATE,4,198,ICA,PARTIDO POPULAR CRISTIANO - PPC
00001011,RAUL HUAMAN CORONADO,1,"3,473",ICA,FUERZA POPULAR
00001012,GRIMANEZA LUNA AVELLANEDA,2,"1,782",ICA,FUERZA POPULAR
00001013,RAFAEL ALFONSO PAREJA MENDEZ,3,523,ICA,FUERZA POPULAR
00001014,MARIA JANET CAHUANA ANANCULI,4,700,ICA,FUERZA POPULAR
00001047,FILOMENO ARMANDO BENDEZU BAUTISTA,1,324,ICA,UNION POR EL PERU
00001048,FATIMA LUCIA FORONDA RIVAS,2,104,ICA,UNION POR EL PERU
00001049,  ,3,31,ICA,UNION POR EL PERU
00001050,JENNY ERICKA PERALTA CARDENAS,4,232,ICA,UNION POR EL PERU
00001055,GLADYS VICTORIA TAPIA MEDINA,1,"2,205",ICA,RENOVACION POPULAR
00001056,ERICK DAVID HUARI AVILA,2,"1,812",ICA,RENOVACION POPULAR
00001057,NANCY MARGOT ALMEYDA PACHAS,3,"1,153",ICA,RENOVACION POPULAR
00001058,EMILIO ELMER SUNA APAZA,4,568,ICA,RENOVACION POPULAR
00001067,HUGO ENRIQUE HUAMAN BRIZUELA,1,956,ICA,RENACIMIENTO UNIDO NACIONAL
00001068,MARIVEL ARROYO HUAMAN,2,114,ICA,RENACIMIENTO UNIDO NACIONAL
00001069,VICTOR WILFREDO CALDERON CARHUAYO,3,253,ICA,RENACIMIENTO UNIDO NACIONAL
00001070,MEDINA ELIZA CIPIRIANO CASTILLO,4,32,ICA,RENACIMIENTO UNIDO NACIONAL
00000999,MARIA DEL PILAR TORRES LEVANO,1,"1,668",ICA,PARTIDO DEMOCRATICO SOMOS PERU
00001000,OSWALDO NAVARRO SOTOMAYOR,2,420,ICA,PARTIDO DEMOCRATICO SOMOS PERU
00001001,JUANA ROSALBA URIBE HEREDIA DE VILLA,3,273,ICA,PARTIDO DEMOCRATICO SOMOS PERU
00001002,  ,4,84,ICA,PARTIDO DEMOCRATICO SOMOS PERU
00001043,JORGE ALFONSO MARTICORENA MENDOZA,1,"2,178",ICA,PARTIDO POLITICO NACIONAL PERU LIBRE
00001044,ANGELA MARIA MORON FERNANDEZ,2,"1,036",ICA,PARTIDO POLITICO NACIONAL PERU LIBRE
00001045,PEDRO ALEXIS CHAVEZ SOLARI,3,500,ICA,PARTIDO POLITICO NACIONAL PERU LIBRE
00001046,YENI SOLEDAD PRADO CUCHO,4,716,ICA,PARTIDO POLITICO NACIONAL PERU LIBRE
00001019,  ,1,0,ICA,DEMOCRACIA DIRECTA
00001020,  ,2,0,ICA,DEMOCRACIA DIRECTA
00001021,  ,3,0,ICA,DEMOCRACIA DIRECTA
00001022,  ,4,0,ICA,DEMOCRACIA DIRECTA
00001015,CESAR ALBERTO JORDAN BRIGNOLE,1,"1,605",ICA,ALIANZA PARA EL PROGRESO
00001016,MYRIAM AZUCENA MATTA EVANGELISTA,2,570,ICA,ALIANZA PARA EL PROGRESO
00001017,DANIEL ALEX ANTHONY COLLANTES HUACACOLQUI,3,174,ICA,ALIANZA PARA EL PROGRESO
00001018,MILAGROS VERONIKA SALAZAR VEGA DE FUENTES,4,160,ICA,ALIANZA PARA EL PROGRESO
00001113,ALBERTO ALEJANDRO ESTABRIDIS VELAZCO,1,"4,281",JUNIN,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001114,SONIA OBDULIA TICSE HUAMAN,2,"2,760",JUNIN,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001115,FERNANDO BACILIDES VILLOSLADA CUBAS,3,"2,517",JUNIN,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001116,LIDIA REZZA QUISPE,4,737,JUNIN,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001117,ANGEL LUIS REYES TORPOCO,5,"1,117",JUNIN,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001447,ESTELA EMILIANA RAYGAL SOLIS,6,746,JUNIN,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00001478,SANDRA ROCIO RAMOS ZANABRIA,1,558,JUNIN,PARTIDO NACIONALISTA PERUANO
00001479,CARLOS FAUSTINO MARCELO OYAGUE,2,482,JUNIN,PARTIDO NACIONALISTA PERUANO
00001480,ROSA GUADALUPE VILCA GUILLERMO,3,227,JUNIN,PARTIDO NACIONALISTA PERUANO
00001481,  ,4,86,JUNIN,PARTIDO NACIONALISTA PERUANO
00001482,MARITZA VILLANUEVA SANCHEZ,5,82,JUNIN,PARTIDO NACIONALISTA PERUANO
00001483,ULICES STIWAR MICHUE CIRINEO,6,114,JUNIN,PARTIDO NACIONALISTA PERUANO
00001095,YURI GAGARIN SAMANIEGO MANSILLA,1,586,JUNIN,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00001096,  ,2,233,JUNIN,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00001097,EMERSON CONRAD SALINAS CAPARACHIN,3,158,JUNIN,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00001098,LOURDES DEISY MONDARGO REMUZGO,4,142,JUNIN,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00001099,LEONIDAS CASAS MARMOLEJO,5,94,JUNIN,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00001100,ANCELMA CARBAJAL RAMOS,6,46,JUNIN,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00001083,GIANINO LUIS MARQUEZ ALVAREZ,1,"2,172",JUNIN,PARTIDO MORADO
00001084,FLOR DE MARIA ESTHER TORRES CONDORI,2,"2,264",JUNIN,PARTIDO MORADO
00001085,RONALD JOSE LUNA MARTEL,3,"1,336",JUNIN,PARTIDO MORADO
00001086,ELIETE EMPERATRIZ MANRIQUE AÑAZGO,4,443,JUNIN,PARTIDO MORADO
00001087,EDISON OMAR ORDOÑEZ ROJAS,5,"1,055",JUNIN,PARTIDO MORADO
00001088,LOURDES HILDA HOPPEN REYES,6,234,JUNIN,PARTIDO MORADO
,,1,0,JUNIN,PERU PATRIA SEGURA
,,2,0,JUNIN,PERU PATRIA SEGURA
,,3,0,JUNIN,PERU PATRIA SEGURA
,,4,0,JUNIN,PERU PATRIA SEGURA
,,5,0,JUNIN,PERU PATRIA SEGURA
,,6,0,JUNIN,PERU PATRIA SEGURA
00001472,JACKELYN STEFANY LIZARRAGA ALANIA,1,"3,172",JUNIN,VICTORIA NACIONAL
00001473,JAVIER LEOCADIO LINDO ZARATE,2,"2,142",JUNIN,VICTORIA NACIONAL
00001474,  ,3,512,JUNIN,VICTORIA NACIONAL
00001475,JOHN JORGE CHAVEZ VILCAPOMA,4,892,JUNIN,VICTORIA NACIONAL
00001476,EMMA CHONG VALLES,5,621,JUNIN,VICTORIA NACIONAL
00001477,RAIMUNDO EMILIANO FLORES CASO,6,"3,369",JUNIN,VICTORIA NACIONAL
00001484,ILICH FREDY LOPEZ UREÑA,1,"11,823",JUNIN,ACCION POPULAR
00001485,RUTH LOURDES MEJIA AGUIRRE,2,"5,338",JUNIN,ACCION POPULAR
00001486,PEDRO ANTONIO MORALES MANSILLA,3,"7,636",JUNIN,ACCION POPULAR
00001487,ANA MARIA VARILLAS LOLI,4,"1,296",JUNIN,ACCION POPULAR
00001488,JORGE JAMES PEREZ ROSAS,5,"4,511",JUNIN,ACCION POPULAR
00001489,IVONNE RUTH GARAY HORMAZA,6,807,JUNIN,ACCION POPULAR
00001490,JESUS TAPIA SAMANIEGO,1,"4,833",JUNIN,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00001491,GINA NATALY CUYUTUPA ORE,2,"4,407",JUNIN,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00001492,LUIS ARMANDO CHUQUILLANQUI CHALCO,3,"1,690",JUNIN,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00001493,  ,4,537,JUNIN,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00001494,WILFREDO BULEGE GUTIERREZ,5,"2,401",JUNIN,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00001495,  ,6,200,JUNIN,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00001502,  ,1,"2,119",JUNIN,PODEMOS PERU
00001503,TERESITA DE JESUS SOLANO CORZO,2,"3,076",JUNIN,PODEMOS PERU
00001504,JESUS CESAR SANDOVAL TRIGOS,3,"1,260",JUNIN,PODEMOS PERU
00001505,ELIZABETH PARIONA LIÑAN,4,219,JUNIN,PODEMOS PERU
00001506,  ,5,203,JUNIN,PODEMOS PERU
00001507,YSABEL ELEANA PEREZ ORTEGA,6,96,JUNIN,PODEMOS PERU
00001508,EDGARD CORNELIO REYMUNDO MERCADO,1,"5,130",JUNIN,JUNTOS POR EL PERU
00001509,NELLY ESTHER AVENDAÑO ROCA,2,"2,341",JUNIN,JUNTOS POR EL PERU
00001510,ARISTOTELES SOCRATES HUAMANI JANAMPA,3,"3,561",JUNIN,JUNTOS POR EL PERU
00001511,SONIA ELIZABETH ZUTA PACHECO,4,"2,021",JUNIN,JUNTOS POR EL PERU
00001512,PEDRO RIPALDA MENESES,5,"1,443",JUNIN,JUNTOS POR EL PERU
00001513,BLANCA LUZ VILA CANALES,6,754,JUNIN,JUNTOS POR EL PERU
00001460,EDSON JOSE RIVERA ESPINAL,1,980,JUNIN,PARTIDO POPULAR CRISTIANO - PPC
00001461,MARIELA PAQUITA GABINO RODRIGUEZ,2,408,JUNIN,PARTIDO POPULAR CRISTIANO - PPC
00001462,CIRO SALDIVER LINO FARFAN,3,236,JUNIN,PARTIDO POPULAR CRISTIANO - PPC
00001463,MARIA JULIA ACOSTA SARAPURA,4,138,JUNIN,PARTIDO POPULAR CRISTIANO - PPC
00001464,FRANCISCO JOSE SANTIAGO TUPAC GABINO,5,129,JUNIN,PARTIDO POPULAR CRISTIANO - PPC
00001465,TERESA ARCELIA LUNA GALARZA,6,30,JUNIN,PARTIDO POPULAR CRISTIANO - PPC
00001071,DAVID JULIO JIMENEZ HEREDIA,1,"4,201",JUNIN,FUERZA POPULAR
00001072,ANA BERTHA PATIÑO URCO,2,"2,800",JUNIN,FUERZA POPULAR
00001073,RAUL ELMER ORTEGA ORELLANA,3,"1,778",JUNIN,FUERZA POPULAR
00001074,LOURDES EVA PACAHUALA ARROYO,4,"1,022",JUNIN,FUERZA POPULAR
00001075,RUBEN GALEAS ARANA,5,"3,911",JUNIN,FUERZA POPULAR
00001076,GIOVANNA YANINA MANCILLA HUAMAN,6,439,JUNIN,FUERZA POPULAR
00001496,MARIO IGNACIO PACHECO CASTILLO,1,"1,516",JUNIN,UNION POR EL PERU
00001497,ZOILA ROCIO GONZALES YARIHUAMAN,2,"1,134",JUNIN,UNION POR EL PERU
00001498,CIRO JERSY CANCHUMANI SALOME,3,"1,400",JUNIN,UNION POR EL PERU
00001499,OLIMPIA VICTORIA TELLO DE VILLEGAS,4,292,JUNIN,UNION POR EL PERU
00001500,  ,5,192,JUNIN,UNION POR EL PERU
00001501,SUSY SUSANA MARTINEZ CARDENAS,6,175,JUNIN,UNION POR EL PERU
00001448,CESAR AUGUSTO BALDEON RAMIREZ,1,"6,084",JUNIN,RENOVACION POPULAR
00001449,FANNY YANET FLORES GUERRA,2,"2,289",JUNIN,RENOVACION POPULAR
00001450,JOSE ANTONIO ANDERSON TRUJILLO,3,"1,975",JUNIN,RENOVACION POPULAR
00001451,LIN MEI TORRES LAM,4,699,JUNIN,RENOVACION POPULAR
00001452,MOISES RUFINO PAUCAR ZAVALA,5,"1,698",JUNIN,RENOVACION POPULAR
00001453,LUZ MARIBEL HUAMAN RAMOS,6,158,JUNIN,RENOVACION POPULAR
00001466,MARIA VELASQUEZ ALEGRE,1,"1,026",JUNIN,RENACIMIENTO UNIDO NACIONAL
00001467,CARLOS DARIO CASTINELLI ARANA,2,"1,125",JUNIN,RENACIMIENTO UNIDO NACIONAL
00001468,LIZETH HAYDEE MIRANDA SALVADOR,3,485,JUNIN,RENACIMIENTO UNIDO NACIONAL
00001469,  ,4,168,JUNIN,RENACIMIENTO UNIDO NACIONAL
00001470,GIOVANNA MALPARTIDA ARANDA,5,227,JUNIN,RENACIMIENTO UNIDO NACIONAL
00001471,RONALD SABINO VENTURA HUAMANI,6,71,JUNIN,RENACIMIENTO UNIDO NACIONAL
00001107,PERCY MANRIQUE VILLAVICENCIO,1,"4,221",JUNIN,PARTIDO DEMOCRATICO SOMOS PERU
00001108,MARIVEL YANINA POMA GIACCARINI,2,"1,013",JUNIN,PARTIDO DEMOCRATICO SOMOS PERU
