total_votos,validos,conteo,hora,candidato,partido,departamento,provincia,distrito,ubigeo_reniec,ubigeo_inei,region,departamento_id,provincia_id,distrito_id,nombre,nro,total
12138,29.264,99.608,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,San Isidro,140124,150131,lima,lima,lima,san isidro,NA,NA,NA
11679,20.356,100,19:25 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Pueblo Libre,140117,150121,lima,lima,lima,pueblo libre,NA,NA,NA
11192,20.092,100,14:28 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Jesus Maria,140133,150113,lima,lima,lima,jesus maria,NA,NA,NA
11093,14.27,100,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ica,Ica,Ica,100101,110101,ica,ica,ica,ica,NA,NA,NA
10677,11.689,100,20:52 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Junin,Huancayo,El Tambo,110113,120114,junin,junin,huancayo,el tambo,NA,NA,NA
10274,18.767,100,12:21 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Surquillo,140131,150141,lima,lima,lima,surquillo,NA,NA,NA
9793,15.038,100,17:30 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ancash,Santa,Nuevo Chimbote,021309,021809,ancash,ancash,santa,nuevo chimbote,NA,NA,NA
9748,17.63,100,13:50 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Breña,140104,150105,lima,lima,lima,breña,NA,NA,NA
9110,9.484,99.822,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Cajamarca,Cajamarca,Cajamarca,060101,060101,cajamarca,cajamarca,cajamarca,cajamarca,NA,NA,NA
8882,12.455,99.728,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Junin,Huancayo,Huancayo,110101,120101,junin,junin,huancayo,huancayo,NA,NA,NA
8754,12.32,100,18:57 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,La Libertad,Trujillo,El Porvenir,120110,130102,la-libertad,la-libertad,trujillo,el porvenir,NA,NA,NA
8476,8.537,100,18:57 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Arequipa,Arequipa,Cerro Colorado,040103,040104,arequipa,arequipa,arequipa,cerro colorado,NA,NA,NA
8318,13.683,100,14:28 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Piura,Piura,Castilla,190103,200104,piura,piura,piura,castilla,NA,NA,NA
8151,20.083,100,19:25 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Magdalena Del Mar,140114,150120,lima,lima,lima,magdalena del mar,NA,NA,NA
8031,19.372,99.624,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Lince,140111,150116,lima,lima,lima,lince,NA,NA,NA
8025,12.306,100,16:44 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Tacna,Tacna,Tacna,220101,230101,tacna,tacna,tacna,tacna,NA,NA,NA
7454,17.396,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lambayeque,Chiclayo,La Victoria,130115,140106,lambayeque,lambayeque,chiclayo,la victoria,NA,NA,NA
7327,13.039,70.796,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,La Libertad,Trujillo,La Esperanza,120111,130105,la-libertad,la-libertad,trujillo,la esperanza,NA,NA,NA
7249,8.88,100,18:57 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Arequipa,Arequipa,Paucarpata,040109,040112,arequipa,arequipa,arequipa,paucarpata,NA,NA,NA
7237,10.485,97.333,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Piura,Sullana,Sullana,190601,200601,piura,piura,sullana,sullana,NA,NA,NA
7108,16.11,99.593,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Callao,Callao,Bellavista,240102,070102,callao,callao,callao,bellavista,NA,NA,NA
6967,20.168,100,13:18 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,La Libertad,Trujillo,Victor Larco Herrera,120107,130111,la-libertad,la-libertad,trujillo,victor larco herrera,NA,NA,NA
6630,12.002,100,14:28 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Piura,Piura,Veintiseis De Octubre,190115,200115,piura,piura,piura,veintiseis de octubre,NA,NA,NA
6593,16.506,98.291,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Huanuco,Huanuco,Huanuco,090101,100101,huanuco,huanuco,huanuco,huanuco,NA,NA,NA
6518,13.201,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima-Provincias,Huaral,Huaral,140801,150601,lima-provincias,lima-provincias,huaral,huaral,NA,NA,NA
6483,13.933,100,12:21 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Arequipa,Arequipa,Arequipa,040101,040101,arequipa,arequipa,arequipa,arequipa,NA,NA,NA
6382,18.047,100,13:18 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,San Luis,140138,150134,lima,lima,lima,san luis,NA,NA,NA
6336,10.409,90.443,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ucayali,Coronel Portillo,Calleria,250101,250101,ucayali,ucayali,coronel portillo,calleria,NA,NA,NA
6180,13.103,100,11:50 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Pachacamac,140116,150123,lima,lima,lima,pachacamac,NA,NA,NA
6124,4.51,100,17:30 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Puno,San Roman,Juliaca,200901,211101,puno,puno,san roman,juliaca,NA,NA,NA
6065,17.211,100,19:57 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Callao,Callao,La Perla,240105,070104,callao,callao,callao,la perla,NA,NA,NA
5923,14.912,100,11:20 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Lurin,140113,150119,lima,lima,lima,lurin,NA,NA,NA
5778,8.274,99.036,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Loreto,Maynas,Iquitos,150101,160101,loreto,loreto,maynas,iquitos,NA,NA,NA
5735,11.648,100,17:30 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,040129,040129,arequipa,arequipa,arequipa,jose luis bustamante y rivero,NA,NA,NA
5536,12.28,100,11:20 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Cajamarca,Jaen,Jaen,060801,060801,cajamarca,cajamarca,jaen,jaen,NA,NA,NA
5521,15.222,98.598,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Huanuco,Huanuco,Amarilis,090110,100102,huanuco,huanuco,huanuco,amarilis,NA,NA,NA
5506,10,99.627,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Arequipa,Arequipa,Cayma,040102,040103,arequipa,arequipa,arequipa,cayma,NA,NA,NA
5144,18.458,100,11:20 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Barranco,140125,150104,lima,lima,lima,barranco,NA,NA,NA
5139,8.174,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Cusco,Cusco,Cusco,070101,080101,cusco,cusco,cusco,cusco,NA,NA,NA
4873,15.735,100,19:57 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima-Provincias,Barranca,Barranca,140901,150201,lima-provincias,lima-provincias,barranca,barranca,NA,NA,NA
4806,17.67,98.621,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Chaclacayo,140107,150107,lima,lima,lima,chaclacayo,NA,NA,NA
4803,15.769,100,11:50 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima-Provincias,Huaura,Huacho,140501,150801,lima-provincias,lima-provincias,huaura,huacho,NA,NA,NA
4777,12.651,100,11:20 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,San Martin,San Martin,Tarapoto,210601,220901,san-martin,san-martin,san martin,tarapoto,NA,NA,NA
4576,12.727,100,19:57 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ica,Chincha,Chincha Alta,100201,110201,ica,ica,chincha,chincha alta,NA,NA,NA
4565,10.619,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Tumbes,Tumbes,Tumbes,230101,240101,tumbes,tumbes,tumbes,tumbes,NA,NA,NA
4541,8.896,100,20:22 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Arequipa,Arequipa,Alto Selva Alegre,040128,040102,arequipa,arequipa,arequipa,alto selva alegre,NA,NA,NA
4497,10.83,100,14:28 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Cusco,Cusco,Wanchaq,070108,080108,cusco,cusco,cusco,wanchaq,NA,NA,NA
4448,13.474,100,18:57 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lambayeque,Lambayeque,Lambayeque,130301,140301,lambayeque,lambayeque,lambayeque,lambayeque,NA,NA,NA
4437,15.633,99.329,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Callao,Callao,Carmen De La Legua-Reynoso,240104,070103,callao,callao,callao,carmen de la legua-reynoso,NA,NA,NA
4309,17.512,100,20:22 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Huanuco,Leoncio Prado,Rupa-Rupa,090601,100601,huanuco,huanuco,leoncio prado,rupa-rupa,NA,NA,NA
4227,8.904,99.598,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Junin,Huancayo,Chilca,110108,120107,junin,junin,huancayo,chilca,NA,NA,NA
4172,8.158,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Tacna,Tacna,Coronel Gregorio Albarracin Lanchipa,220113,230110,tacna,tacna,tacna,coronel gregorio albarracin lanchipa,NA,NA,NA
3864,13.098,98.795,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,La Libertad,Trujillo,Florencia De Mora,120112,130103,la-libertad,la-libertad,trujillo,florencia de mora,NA,NA,NA
3813,13.394,100,13:50 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,San Martin,Moyobamba,Moyobamba,210101,220101,san-martin,san-martin,moyobamba,moyobamba,NA,NA,NA
3781,10.301,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Arequipa,Arequipa,Miraflores,040107,040110,arequipa,arequipa,arequipa,miraflores,NA,NA,NA
3677,7.574,100,09:46 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ayacucho,Huamanga,Ayacucho,050101,050101,ayacucho,ayacucho,huamanga,ayacucho,NA,NA,NA
3488,13.222,100,14:28 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,La Libertad,Trujillo,Huanchaco,120102,130104,la-libertad,la-libertad,trujillo,huanchaco,NA,NA,NA
3479,15.013,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Ancon,140102,150102,lima,lima,lima,ancon,NA,NA,NA
3382,9.09,100,12:21 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Arequipa,Arequipa,Mariano Melgar,040126,040109,arequipa,arequipa,arequipa,mariano melgar,NA,NA,NA
3380,13.323,100,11:20 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima-Provincias,Cañete,San Vicente De Cañete,140401,150501,lima-provincias,lima-provincias,cañete,san vicente de cañete,NA,NA,NA
3379,8.477,100,17:30 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Arequipa,Arequipa,Socabaya,040119,040122,arequipa,arequipa,arequipa,socabaya,NA,NA,NA
3377,10.829,100,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ica,Pisco,Pisco,100401,110501,ica,ica,pisco,pisco,NA,NA,NA
3374,6.984,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Cusco,Cusco,San Sebastian,070105,080105,cusco,cusco,cusco,san sebastian,NA,NA,NA
3329,16.347,100,17:30 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Arequipa,Arequipa,Yanahuara,040123,040126,arequipa,arequipa,arequipa,yanahuara,NA,NA,NA
3324,4.252,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Puno,Puno,Puno,200101,210101,puno,puno,puno,puno,NA,NA,NA
